#OTU ID	AHA_ASH.kraken	AHA_BEE.kraken	AHA_BET.kraken	AHA_HAZ.kraken	AHA_OAK.kraken	AHB_ASH.kraken	AHB_BEE.kraken	AHB_BET.kraken	AHB_OAK.kraken	AHC_ASH.kraken	AHC_BET.kraken	AHC_HAZ.kraken	AHC_OAK.kraken	BWA_ASH.kraken	BWA_BEE.kraken	BWA_BET.kraken	BWA_HAZ.kraken	BWA_OAK.kraken	BWB_ASH.kraken	BWB_BEE.kraken	BWB_BET.kraken	BWB_HAZ.kraken	BWB_OAK.kraken	BWC_ASH.kraken	BWC_BEE.kraken	BWC_BET.kraken	BWC_HAZ.kraken	BWC_OAK.kraken	THA_ASH.kraken	THA_BEE.kraken	THA_BET.kraken	THA_OAK.kraken	THB_ASH.kraken	THB_BEE.kraken	THB_BET.kraken	THB_OAK.kraken	THC_ASH.kraken	THC_BEE.kraken	THC_OAK.kraken	taxomomy
Calonectria_colhounii	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	2.0	['k__Fungi', 'p__Ascomycota', 'c__Sordariomycetes', 'o__Hypocreales', 'f__Nectriaceae', 'g__Calonectria', 's__Calonectria_colhounii']
Fusarium_subglutinans	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	['k__Fungi', 'p__Ascomycota', 'c__Sordariomycetes', 'o__Hypocreales', 'f__Nectriaceae', 'g__Fusarium', 's__Fusarium_subglutinans']
Nectria_haematococca	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	['k__Fungi', 'p__Ascomycota', 'c__Sordariomycetes', 'o__Hypocreales', 'f__Nectriaceae', 'g__Fusarium', 's__Nectria_haematococca']
Anyphaena_accentuata	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	6.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	['k__Metazoa', 'p__Arthropoda', 'c__Arachnida', 'o__Araneae', 'f__Anyphaenidae', 'g__Anyphaena', 's__Anyphaena_accentuata']
Araniella_inconspicua	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	['k__Metazoa', 'p__Arthropoda', 'c__Arachnida', 'o__Araneae', 'f__Araneidae', 'g__Araniella', 's__Araniella_inconspicua']
Cyclosa_conica	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	['k__Metazoa', 'p__Arthropoda', 'c__Arachnida', 'o__Araneae', 'f__Araneidae', 'g__Cyclosa', 's__Cyclosa_conica']
Clubiona_littoralis	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	['k__Metazoa', 'p__Arthropoda', 'c__Arachnida', 'o__Araneae', 'f__Clubionidae', 'g__Clubiona', 's__Clubiona_littoralis']
Clubiona_pallidula	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	['k__Metazoa', 'p__Arthropoda', 'c__Arachnida', 'o__Araneae', 'f__Clubionidae', 'g__Clubiona', 's__Clubiona_pallidula']
Dictyna_uncinata	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	['k__Metazoa', 'p__Arthropoda', 'c__Arachnida', 'o__Araneae', 'f__Dictynidae', 'g__Dictyna', 's__Dictyna_uncinata']
Baryphyma_kulczynskii	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	['k__Metazoa', 'p__Arthropoda', 'c__Arachnida', 'o__Araneae', 'f__Linyphiidae', 'g__Baryphyma', 's__Baryphyma_kulczynskii']
